isbn;titulo;autor;ano;preco;estoque;vendas
101;Sapiens: Uma Breve História da Humanidade;Yuval Noah Harari;2011;59.90;35;520
712;Armas, Germes e Aço;Jared Diamond;1997;55.50;18;315
942;As Veias Abertas da América Latina;Eduardo Galeano;1971;45.00;12;280
532;O Povo Brasileiro;Darcy Ribeiro;1995;48.90;22;410
632;A História do Brasil Para Quem Tem Pressa;Marcos Costa;2016;29.99;40;655
012;Box Dominação e Resistência;Leandro Karnal;2023;89.90;15;120
783;Os Fornos de Hitler;Olga Lengyel;1947;39.90;8;95
234;A Riqueza das Nações;Adam Smith;1776;42.75;5;88
109;O Príncipe;Nicolau Maquiavel;1532;25.90;30;405
114;Breve História do Mundo;Geoffrey Blainey;2000;37.25;25;290
454;A Era dos Impérios;Eric Hobsbawm;1987;51.00;14;175
554;Box Coleção Brasil Imperial;Isabel Lustosa;2022;120.00;10;80
687;O Diário de Anne Frank;Anne Frank;1947;34.90;28;510
190;História da Vida Privada no Brasil;Fernando A. Novais;1997;67.80;9;110
174;1499: O Brasil Antes de Cabral;Reinaldo José Lopes;2022;49.99;20;185
