isbn;titulo;autor;ano;preco;estoque;vendas
047;Clean Code: A Handbook of Agile Software Craftsmanship;Robert C. Martin;2008;95.90;25;420
202;O Mythical Man-Month;Frederick P. Brooks Jr.;1975;65.00;12;185
079;Código Limpo: Habilidades Práticas do Agile Software;Robert C. Martin;2008;89.90;30;380
787;Algoritmos: Teoria e Prática;Thomas H. Cormen;2009;120.00;18;275
887;Domain-Driven Design: Tackling Complexity in the Heart of Software;Eric Evans;2003;78.50;15;210
321;A Startup Enxuta;Eric Ries;2011;52.90;40;510
417;Hábitos Atômicos;James Clear;2018;39.99;55;890
555;Scrum: A Arte de Fazer o Dobro do Trabalho na Metade do Tempo;Jeff Sutherland;2014;44.90;28;445
297;Python Fluente;Luciano Ramalho;2015;110.00;22;320
466;O Programador Pragmático: De Aprendiz a Mestre;Andrew Hunt;1999;85.25;20;395
654;Design Patterns: Elements of Reusable Object-Oriented Software;Erich Gamma;1994;99.90;10;305
344;Rápido e Devagar: Duas Formas de Pensar;Daniel Kahneman;2011;49.90;35;600
832;Arquitetura Limpa: O Guia do Artesão para Estrutura e Design de Software;Robert C. Martin;2017;79.90;26;335
221;Entendendo Algoritmos: Um Guia Ilustrado Para Programadores;Aditya Y. Bhargava;2016;59.99;33;410
215;Inteligência Artificial: Uma Abordagem Moderna;Stuart Russell;1995;135.00;8;165
